County,State,Country,Latitude,Longitude,Location,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20
Adams,Indiana,US,40.7457653,-84.93671406,"Adams, Indiana, US",2,2,2,2,2,4,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,8,7,7,7,7,7,8,8,8,9
Allen,Indiana,US,41.09194313,-85.06800636,"Allen, Indiana, US",63,87,90,95,105,119,136,147,156,167,180,224,271,293,301,327,336,343,387,400,427,439,486,504,528,560,588,600,619,664,695
Bartholomew,Indiana,US,39.20744865,-85.89558181,"Bartholomew, Indiana, US",54,54,55,66,83,83,108,110,110,110,113,116,130,131,136,140,140,146,163,175,198,206,232,238,241,250,261,266,268,269,297
Benton,Indiana,US,40.60626947,-87.31093999,"Benton, Indiana, US",0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,4,4,4,6,5,6,6,6,7,8,8,8,9,11,11,10
Blackford,Indiana,US,40.47388153,-85.32499702,"Blackford, Indiana, US",3,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,9,9,9,10
Boone,Indiana,US,40.0509304,-86.46841646,"Boone, Indiana, US",57,64,74,76,84,90,103,109,109,125,129,136,145,151,153,154,161,166,172,177,182,182,183,185,186,190,189,198,198,199,207
Brown,Indiana,US,39.19605589,-86.22868909,"Brown, Indiana, US",5,5,8,9,9,9,12,12,12,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,16,17,18,18,18
Carroll,Indiana,US,40.580783200000000,-86.56198812,"Carroll,Indiana,US",3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,7,8,7,7,8,9,13,18,18,21,22,24,25,41,56,63
Cass,Indiana,US,40.76135835,-86.34830753,"Cass, Indiana, US",4,4,12,15,16,18,23,22,28,28,33,37,50,52,71,87,107,138,199,255,315,586,1025,1101,1125,1164,1214,1224,1293,1371,1406
Clark,Indiana,US,38.48015445,-85.70510334,"Clark, Indiana, US",66,71,82,86,96,104,106,112,117,132,137,143,151,160,162,177,181,188,195,207,223,227,277,283,288,293,316,329,331,334,339
Clay,Indiana,US,39.39561833,-87.11723506,"Clay, Indiana, US",4,4,7,11,12,11,11,11,12,12,13,14,14,15,18,20,19,19,19,19,19,19,19,19,19,20,20,22,22,22,22
Clinton,Indiana,US,40.30319754,-86.47277257,"Clinton, Indiana, US",4,4,5,8,10,11,11,11,11,12,13,14,16,16,18,19,20,20,25,26,30,31,32,35,36,38,45,47,56,64,65
Crawford,Indiana,US,38.28814402,-86.44518825,"Crawford, Indiana, US",5,5,9,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,14,16,16,16,16,16,18,18,17,18,18,18,19
Daviess,Indiana,US,38.70186039,-87.07185406,"Daviess, Indiana, US",2,2,4,5,8,9,9,10,10,12,21,24,27,29,34,34,38,38,38,42,43,43,45,46,47,47,47,50,51,52,52
Dearborn,Indiana,US,39.14647946,-84.97333539,"Dearborn, Indiana, US",33,38,41,47,52,59,59,60,129,60,61,61,63,65,68,68,70,72,75,77,84,84,85,90,103,104,117,119,135,137,138
Decatur,Indiana,US,39.30712658,-85.50087166,"Decatur, Indiana, US",80,90,90,99,107,118,123,127,129,153,155,160,165,166,168,168,171,178,182,191,194,194,194,195,199,200,200,201,202,202,205
DeKalb,Indiana,US,41.39804622,-84.99906934,"DeKalb, Indiana, US",4,4,4,4,5,5,5,5,60,6,6,10,11,13,13,13,13,13,14,14,15,15,15,16,18,20,20,21,22,22,22
Delaware,Indiana,US,40.22787247,-85.39732772,"Delaware, Indiana, US",37,40,40,46,49,56,63,66,69,72,77,85,91,92,110,114,116,121,126,132,144,146,147,152,156,176,182,198,200,200,209
Dubois,Indiana,US,38.36597551,-86.87924170000000,"Dubois, Indiana, US",6,7,7,9,10,10,11,13,13,13,14,14,14,14,16,16,16,16,16,17,17,17,18,18,21,23,23,24,25,25,27
Elkhart,Indiana,US,41.59761169,-85.85875695,"Elkhart, Indiana, US",35,36,43,46,56,61,71,83,89,100,105,123,130,148,152,164,179,185,196,211,238,245,247,269,281,287,293,295,311,321,342
Fayette,Indiana,US,39.63684962,-85.17797541,"Fayette, Indiana, US",16,16,18,18,19,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,25,25,25,26,28,28,28,28,29,30,30
Floyd,Indiana,US,38.32117957,-85.90385377,"Floyd, Indiana, US",50,50,74,77,88,93,105,107,108,111,116,125,130,137,142,142,142,149,152,162,163,164,164,173,174,178,182,200,203,204,212
Fountain,Indiana,US,40.12361933,-87.24217689,"Fountain, Indiana, US",2,2,2,2,2,3,3,3,3,3,3,4,4,5,6,8,8,8,8,9,9,9,9,10,10,11,12,12,13,14,14
Franklin,Indiana,US,39.4142482,-85.06062647,"Franklin, Indiana, US",53,55,60,61,64,66,67,69,69,74,75,75,87,89,89,90,91,91,92,92,94,94,94,95,96,97,97,97,97,99,99
Fulton,Indiana,US,41.0469907,-86.26252745,"Fulton, Indiana, US",2,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,6,6,7,7,10,13,23,26,26,27,30,31,33,33,34
Gibson,Indiana,US,38.30393723,-87.58054938,"Gibson, Indiana, US",4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7
