County,State,Country,Latitude,Longitude,Location,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20
Adams,Ohio,US,38.84541072,-83.4718964,"Adams, Ohio, US",2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,4,5,5,5,5,5
Allen,Ohio,US,40.77285242,-84.10802343,"Allen, Ohio, US",18,19,22,23,23,24,27,33,37,46,51,57,65,70,79,84,88,94,100,108,108,108,103,103,116,121,121,123,124,133,135
Ashland,Ohio,US,40.84772277,-82.27280781,"Ashland, Ohio, US",3,3,3,3,4,5,5,5,5,5,6,5,5,5,6,5,5,5,5,5,5,6,6,6,6,7,7,8,9,9,9
Ashtabula,Ohio,US,41.70860332,-80.74830218,"Ashtabula, Ohio, US",12,15,18,20,19,19,24,26,31,32,36,45,54,64,66,68,70,80,98,103,107,110,110,113,116,126,136,142,146,149,160
Athens,Ohio,US,39.33425634,-82.04278644,"Athens, Ohio, US",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4
Auglaize,Ohio,US,40.55998859,-84.22421430000000,"Auglaize, Ohio, US",6,8,8,8,8,9,14,14,14,15,18,19,21,22,22,23,23,28,29,29,30,30,31,32,32,32,33,34,35,35,36
Belmont,Ohio,US,40.01625942,-80.9924051,"Belmont, Ohio, US",20,22,25,30,36,42,49,50,53,57,58,59,63,68,68,73,84,93,95,98,101,106,114,118,128,144,153,156,163,174,181
Brown,Ohio,US,38.93416837,-83.86788395,"Brown, Ohio, US",3,3,4,4,4,4,5,6,5,5,8,8,8,9,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,12,13
Butler,Ohio,US,39.44012838,-84.57388716,"Butler, Ohio, US",68,75,92,102,108,112,115,117,121,127,133,148,155,164,166,180,184,192,201,208,216,225,234,254,261,281,296,318,328,334,346
Carroll,Ohio,US,40.5789686,-81.09178213,"Carroll, Ohio, US",8,9,9,9,9,10,11,13,14,14,14,14,15,15,15,16,16,18,18,19,20,20,19,19,19,21,21,21,21,21,21
Champaign,Ohio,US,40.13923427,-83.76875242,"Champaign, Ohio, US",5,5,5,5,5,6,6,6,6,6,6,6,6,7,8,8,7,7,8,8,12,12,12,14,14,14,14,14,15,14,15
Clark,Ohio,US,39.91592258,-83.78498252,"Clark, Ohio, US",8,10,11,13,14,14,18,20,20,20,21,23,25,26,25,26,28,28,29,30,32,33,43,48,51,57,57,63,67,70,69
Clermont,Ohio,US,39.04847534,-84.15375786,"Clermont, Ohio, US",21,27,22,27,33,36,41,41,39,44,49,60,66,71,72,72,74,73,76,77,77,77,76,78,81,88,93,99,101,103,109
Clinton,Ohio,US,39.41485808,-83.80852286,"Clinton, Ohio, US",8,8,9,11,12,15,15,15,16,18,23,23,26,26,26,26,26,26,27,27,27,28,28,28,29,29,31,31,31,31,31
Columbiana,Ohio,US,40.76932373,-80.78094576,"Columbiana, Ohio, US",42,53,59,71,81,92,96,105,114,115,123,136,154,161,167,182,185,195,208,214,219,223,228,235,247,253,267,274,278,287,292
Coshocton,Ohio,US,40.30096166,-81.91729018,"Coshocton, Ohio, US",9,10,10,10,12,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17
Crawford,Ohio,US,40.85065156,-82.91989099,"Crawford, Ohio, US",9,9,9,9,12,13,13,16,17,19,23,26,28,36,41,37,37,36,37,38,39,39,41,41,45,45,48,50,52,56,57
